name,website,elevator_pitch,description,technology_description,mit_connection,contact,founded,employees,technology,industry,capital_raised,keywords,profile_url,scraped_at
CAP_ABLE Edit,https://www.capable.design/,"Cap_able is dedicated to safeguarding privacy in an increasingly surveilled world. We create AI-driven solutions that disrupt facial recognition and other detection technologies, protecting identities across various surfaces, including textiles, vehicles, and other physical assets. By combining cutting-edge technology with high-quality Italian design, we offer innovative, functional, and stylish products for the fashion, security, and defense sectors. Our mission is to empower individuals and organizations to protect their privacy without compromising aesthetics or practicality.","Cap_able is a pioneering company dedicated to safeguarding privacy in an increasingly surveilled world. We develop AI-driven adversarial textiles and covers that disrupt facial recognition and other detection technologies, protecting the identities of individuals and assets without the need to cover their faces. By integrating cutting-edge machine learning algorithms with high-quality Italian design, our products offer a seamless blend of style, functionality, and security. Cap_able’s innovative solutions are designed for various sectors, including fashion, automotive, security, and defense, empowering individuals and organizations to protect their privacy without compromising aesthetics or practicality. Our mission is to lead the market in accurate tracking.","Cap_able’s technology is embedded into various surfaces, including knitted and woven jacquard fabrics, ensuring a perfect fit without compromising effectiveness. Tested on YOLO and other real-time object detection systems, these surfaces cause the software to misidentify wearers as other categories rather than humans. Cap_able also develops machine learning algorithms to generate these disruptive patterns, effective across various models and environments, including those using thermal cameras and infrared sensors. Designed for practical use, these textiles and covers combine style with security, offering a seamless blend of functionality and privacy protection in the fashion, automotive, security, and defense sectors.",,"No Street Listed, Turin, TO, 10024 • info@capable.design, rachele@capable.design, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 8, 2022",1-9,Other,Technology,Under $2M,Artificial Intelligence;Privacy;Design;Camouflage;Identity Protection;Physical Solutions,https://startupexchange.mit.edu/node/39564,2025-08-22T12:43:49
CAPITAL PULSE Edit,https://www.capitalpulse.com/,"Medical insurance claims receivables are often the largest asset a medical provider has, but unlike in the rest of the US economy, they are not easily financeable. This is because lenders have difficulty valuing the claims, largely due to lack of data availability and idiosyncratic medical risk. Capital Pulse helps handicap this risk for financial institutions by ingesting, anonymizing and modeling claims' likelihood of denial, eventual payment amount, and timing. In doing so, we help unlock valuable working capital for healthcare providers and improve returns and lower risk for capital providers. With healthcare spending at over seventeen percent of the U.S. GDP and growing, medical claims receivables have the potential to be the next trillion-dollar asset class. With significant interest from some of the largest players in both healthcare and finance, Capital Pulse’s purpose-built claim valuation infrastructure is at the forefront of this coming wave.","Many healthcare providers have difficulty accessing working capital. In fact, nearly 700 hospitals in the US operate with less than 10 days' cash-on-hand. When providers are faced with cash shortages, oftentimes their only option is to cut back on much-needed services. By unlocking the value of their pending insurance claims, Capital Pulse gives healthcare providers the flexibility to focus on what they do best - providing services to their communities.","The Capital Pulse platform integrates advances in EHRs (data availability), cryptography (anonymization and validation), AI/ML (modeling), and payment systems (servicing). We are a HIPAA / SOC-2 compliant cloud-based (AWS) platform and leverage postgresql, python, and R.","MIT alumni as founder | Josh Holden MIT BSc, MSc '93 is co-Founder and co-CEO","00 Wilshire Blvd., Suite 700, Santa Monica, CA, 90401 • info@capitalpulse.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 1, 2022",1-9,AI/ML,Health Care,Under $2M,Medical Claims Receivables Valuation Finance,https://startupexchange.mit.edu/node/40762,2025-08-22T12:44:24
CAPRA BIOSCIENCES Edit,http://www.caprabiosciences.com,"Capra Biosciences uses their proprietary biofilm reactors to make hydrophobic chemicals such as lubricants, fuels, and polymers sustainably and cost effectively. Rather than using refined sugars, our organism and reactor are able to convert waste carbon into new products. Our technology operates continuously with a smaller footprint than traditional bioreactors and follows different scaling rules reducing the risks and costs associated with bringing new products from the benchtop to large scale production.","Today the sustainable chemicals are often more expensive than petroleum based alternatives and the majority of bio-based chemicals rely on refined sugars or vegetable oils as carbon sources, which can burden the already taxed food supply chain. Technologies that are able to produce cost-competitive chemicals from complex waste feedstocks are needed to enable a truly sustainable chemical industry.","Biology provides a route to precisely controlled multi-step synthesis at ambient temperature and pressure within a single cell. However, biology typically operates solely in the aqueous phase. Our bioreactor design combines the benefits of biosynthesis with a water-, energy-, and time-saving extraction step to produce complex hydrophobic products in a more environmentally-friendly and cost-effective fashion. Each of our bioreactor cartridges (large column in figure) can produce up to 300 grams of product a day, while using only about 3 L of water. Using synthetic biology, we can engineer our platform organism to produce molecules that are functionally tailored to meet customer needs - for example new kinds of lubricants that meet or exceed the wear performance, and thermal and oxidative stability of today’s petroleum-based lubricants while also being wholly renewable and cost competitive.",MIT alumni as founder | Co-founder (Andrew Magyar) is a PhD alum of course 3,"11100 Endeavor Ct, Suite 149, Manassas, VA, 20109 • info@caprabiosciences.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Feb 25, 2020",1-9,Advanced Manufacturing,Biotechnology,$2-10M,Biomanufacturing; Synthetic Biology; Chemicals; Lubricants,https://startupexchange.mit.edu/node/35258,2025-08-22T12:45:02
CAPSEN ROBOTICS LLC Edit,http://www.capsenrobotics.com/,"CapSen Robotics’ mission is to give robots the spatial intelligence they need to assist humans with all forms of manual labor. The company’s first product, CapSen PiC, uses MIT-researched 3D vision algorithms and proprietary motion planning algorithms to eliminate the physically demanding and extremely repetitive task of bin picking, an annual opportunity of $1B in the U.S. alone.","At CapSen Robotics, the goal is to provide robots with a comprehensive understanding of the physical world. We provide state-of-the-art 3D vision software for superior object detection, tracking, and scanning in unstructured, cluttered environments. The software, leveraging new research from MIT, works with both textured and untextured objects, with applications to bin picking, warehouse automation, gaming, augmented reality, occupational therapy, and many other domains. Detecting and tracking known, rigid objects with an RGB-D sensor relies on being able to align 3D object models with an observed scene. At CapSen Robotics, we have developed new 3D alignment algorithms that work better in clutter and with a wider range of objects than standard methods like Iterative Closest Point or keypoint matching. Algorithms use the quaternion Bingham distribution to encode the orientation information of sparse, 3D feature sets. This allows them to combine the alignment information from small sets of otherwise ambiguous features to achieve robust alignments in scenes with clutter and occlusions, and for objects that lack unique visual or geometric features.",,"MIT-licensed technology | MIT alumni as founder | Co-Founder Jared Glover, 2014 Ph.D, EECS, MIT","4638 Centre Avenue Pittsburgh, PA 15213, Pittsburgh, Pennsylvania, 15213 • jared.glover@capsenrobotics.com, mark.schnepf@capsenrobotics.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 14, 2014",1-9,Advanced Manufacturing,Software,NULL,,https://startupexchange.mit.edu/node/3376,2025-08-22T12:45:38
CARBIN AI Edit,https://www.carbin.ai,"Poor road conditions increase rate of accidents and damage to vehicles, which in the US alone cost $540+M in annual vehicle repairs. While current approaches for road monitoring offer reliable measurements, they are expensive and not scalable (less than 10% of roads are monitored) for millions of daily drivers equipped with telematics devices that collect driving data (acceleration and speed). Carbin AI offers physics-informed AI platform for translating this data into road and traffic condition","Carbin AI is an MIT spinoff company based in Newton, MA that develops physics-informed AI models for translating vehicle telematics data into road-vehicle-driver insights. Our initial focus is on providing data for identifying and monitoring road and traffic conditions as well as information on road induced fuel consumption and CO2 emissions on the path to building AI driven road-vehicle communication systems that offer a smooth transition to EV and autonomous vehicles. Our team brings decades of data analytics in the automotive and road infrastructure sectors and is currently focused on forming strategic partnerships with businesses with millions of telematics to enable fastest adoption rate towards a global network of connected roads and vehicles.",Physics-informed AI system for translating vehicle telematics data into road-vehicle-driver insights that enhance safety and comfort of drivers and reduce vehicle operating costs and CO2 emissions. Patented model on using vehicle vibrations (acceleration) to obtain road conditions with excess MPG (or kWh) and greenhouse gas emissions.,"MIT faculty as founder | MIT staff as founder | MIT alumni as founder | Prof. Franz-Josef Ulm, director of CSHub and professor in CEE is an academic co-founder and sits on the board of directors","164 Cotton Street, Newton, MA, 02458 • amir@carbin.ai, startupexchange-admin@mit.edu, startupexchange@mit.edu","Nov 3, 2020",1-9,Intelligent Mobility,Automotive,Under $2M,"analytics, API, AI, Auto Insurance, automotive, Connected Car, autonomous vehicles, Driving, B2B, data analytics, fleet, Auto, fleet management, predictive analytics, predictive maintenance, Smart Infrastructure",https://startupexchange.mit.edu/node/26877,2025-08-22T12:46:14
CARE.COACH Edit,http://care.coach,"care.coach helps health care providers to socially engage patients, coaching them to improve self-management of multiple chronic conditions and other risk factors. High-risk patients with any level of tech/cognitive ability simply talk with our avatar, which serves as the 24x7 face for our team of specially trained health advocates. We automate health conversations through clinical software algorithms that record valuable data and send actionable reports/alerts to care coordinators and families.","care.coach's specially-trained Health Advocate team provides 24x7 patient support, wellness coaching, and intelligent reporting through an award-winning, avatar-enhanced care platform. By engaging the highest risk patients, care.coach helps providers to achieve multiple clinical and strategic goals with a single, easy to implement system: (*) Perfect continuity of care (*) Enhanced psychosocial support (*) Engaged families and care teams (*) Improved patient satisfaction and experience​ (*) Better self-management of chronic conditions (*) Reduced risk, avoidable utilization, and cost of care",Please add,"MIT alumni as founder | Victor Wang, SM (MIT '12) Shuo Deng, PhD (MIT '15)","660 El Camino Real, Suite 210, Millbrae, CA, 94030-2060 • shuodeng@alum.mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu, victor@care.coach","Sep 1, 2012",10-24,Digital Health,Health Care,,,https://startupexchange.mit.edu/node/3107,2025-08-22T12:46:48
CAREACROSS Edit,https://www.careacross.com,"CareAcross is a digital health startup focusing on cancer. The mission is to support people affected by cancer through credible information, useful tools, psychological support and advice from experts. The vision is to facilitate faster more effective oncology research, and medical interaction that will improve quality of life of patients and caregivers. The team has deep expertise in business, technology and oncology-and a strong drive to confront a disease that affects millions of people world","CareAcross is a digital health startup focusing on cancer. The mission is to support people affected by cancer through credible information, useful tools, psychological support & advice from experts. The vision is to facilitate faster more effective oncology research, and medical interaction that will improve quality of life of patients & caregivers. The team has deep expertise in business, technology & oncology-and a strong drive to confront a disease that affects millions of people worldwide.",,,"(MassChallenge) The Dock,Tobacco Quay,Wapping Lane London, England E1W 2SF, London, 02118 • startupexchange-admin@mit.edu, startupexchange@mit.edu, thanos.kosmidis@careacross.com","Sep 10, 2013",1-9,Healthcare,Health Care,NULL,,https://startupexchange.mit.edu/node/3911,2025-08-22T12:47:38
CARLIN FIT LLC Edit,,"At Carlin Fit, we design and develop mobile applications and smart devices to help people lead healthier lives. Our products span the health and wellness industry from physical fitness to sanitation.","Accion is developing advanced technologies for the new space industry. We are striving to become a leader in high-quality, affordable propulsion technologies that enable increased access to space. The propulsion systems are some of the first that can turn affordable satellites into capable ones. Accion will reinvest their knowledge and resources into bringing the latest advances from other industries to aerospace, and will work to lower barriers to entry through decreased development cycles and costs for propulsion and other subsystems.",Our main hardware technology is called The Purple Bug. The Purple Bug is a novel IoT device which uses ultraviolet lights to clean the interior of automobiles.,MIT alumni as founder | Samantha Carlin (nee Simmons) is a 2015 graduate of MIT Sloan School of Management - M.B.A. 2015 MIT Sloan School of Management - samantha.simmons@sloan.mit.edu and Cell Phone: 610-213-6983,"s.carlin@carlinfit.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Apr 24, 2019",,Hardware/Software Combos & Devices,Technology,Under $2M,The Purple Bug; Car disinfection; UV-C light; IoT device,https://startupexchange.mit.edu/node/22443,2025-08-22T12:47:43
CARTESIAN SYSTEMS Edit,https://cartesian.systems,"Cartesian Systems is an MIT spin-off focused on mapping the physical world at an unprecedented scale and precision using IoT. Our team of MIT faculty and recent alums invented award-winning, patented sensor fusion technologies to massively track assets and operations indoors. We are building a platform that uses these technologies to transform physical traceability and optimize retail, supply chain, manufacturing, and robotics operations.","Inventory and asset management is a massive challenge for retailers and logistics operators. One of the biggest problems they face is indoor traceability, i.e., knowing where items are inside their buildings. This problem is particularly challenging for retailers, whose business relies on product availability for shoppers both online and in-store. Unfortunately, existing solutions are either too costly or highly inefficient, and they incur significant management overhead. Cartesian's product seamlessly maps all indoor inventory assets using pervasive IoT and novel sensor fusion technologies. Our product creates a digital twin of indoor spaces to provide full visibility into both assets and operations. The twin consists of high-resolution maps of all item locations, which allows tracking and searching for inventory and assets. These capabilities will boost labor efficiency, optimize operations and space usage, increase customer sale convergence, reduce shrinkage, and deliver new customer insights and operational analytics.","Our venture is backed by a portfolio of 12 issued and pending patents on wireless sensing, asset tracking, and sensor fusion inventions. Our product leverages the most pervasive IoT technology - 3-cent RFID tags - which have been attached to over 30 billion manufactured products. Using a combination of wireless signal processing, computer vision, and AI-based sensor fusion algorithms, our product can locate tagged items with centimeter-scale precision. At the core of the product is the first technology that can measure time-of-flight on off-the-shelf RFID tags. The technology was featured for its ability to locate RFIDs at an “unprecedented scale” by RFID Journal. It was also named as one of the 100 ""Ways MIT is Making the World Better"", as one of the top ""AI Trends to Watch"" by The Wall Street Journal.","MIT-licensed technology | MIT faculty as founder | MIT alumni as founder | Fadel Adib: MIT Faculty and Alum ('13, '17) Isaac Perper: Alum ('20, '21)","No Street Listed, Cambridge, MA, 02139 • contact@cartesian.systems, startupexchange-admin@mit.edu, startupexchange@mit.edu","Feb 14, 2022",1-9,IoT,Retail,Under $2M,"tracking, Assets, Localization, RFID, Retail Automation, logistics, manufacturing, robotics, Piece-Picking Robots, Fashion, computer vision, omnichannel, security, Self-checkout, Digital Twin, Wireless, Sensor Fusion, Automation, Stockroom, Inventory, traceability, warehouse",https://startupexchange.mit.edu/node/35663,2025-08-22T12:48:19
CATALAN.AI Edit,https://catalan.ai/,Catalani.ai: bringing machine-learning based efficient pricing to eCommerce and enterprise businesses to maximize net profit and revenue.,"In eCommerce today, pricing a product is one of the most challenging tasks. How much are customers willing to pay at a given time? When and by how much should prices be increased or discounted? Solutions used today are inefficient. We solve this problem efficiently for 24 million SMBs worldwide.","We leverage ML algorithms to optimally price products based on factors such as: supply and demand, inventory levels, ad spend, competition, seasonality, location, weather, etc. In essence, we democratize sophisticated pricing tools and offer them as a B2B subscription-based revenue maximization service for Ecommerce. Our solution is industry agnostic and the models should be transferable across different companies in the same industry vertical.",MIT student as founder | MIT alumni as founder | Both co-founders: Andres Garza (Sloan '22) and Ishaan (MAS PhD Candidate '24) are MIT affiliated.,"251 Little Falls Drive, Wilmington, DE, 19808 • andres@catalan.ai, startupexchange-admin@mit.edu, startupexchange@mit.edu","Nov 4, 2022",1-9,AI/ML,Software,$2-10M,"pricing, optimization, reinforcement learning.",https://startupexchange.mit.edu/node/37679,2025-08-22T12:48:54
CATALIA HEALTH Edit,http://www.cataliahealth.com/,"Catalia Health’s Mabu Care Insights Platform creates more effective patient engagement and connection to clinicians. Used for specialty pharmacy care management programs, clinical trial data collection, and post-discharge patient care, the platform successfully educates, engages, and collects data from patients. The platform combines artificial intelligence, psychology, and medical best practices to engage patients over an extended period of time. The artificial intelligence algorithms cre","Catalia Health brings together artificial intelligence, psychology, and medicine to deliver lasting change. They create effective patient engagement and generate unique data of value to customers. The cloud-based platform delivers unique conversations to patients to help address their ongoing healthcare issues in an effective way. These messages are delivered through mobile apps, a web interface, and the uniquely engaging (and patented) interactive robotic coach. Customers are healthcare companies who are searching for effective behavior change solutions, including pharmaceutical manufacturers and distributors, home health agencies, and healthcare providers.",,"MIT alumni as founder | CEO / Co-founder - Cory D. Kidd, M.S. (2003) and Ph.D. (2008) from the Media Lab. Co-founder / Lead Mechanical Engineer - Kristopher Dos Santos, MIT Media Lab","629A Bryant Street, San Francisco, CA, 94107 • coryk@cataliahealth.com, info@cataliahealth.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 1, 2014",1-9,Healthcare,Health Care,,,https://startupexchange.mit.edu/node/474,2025-08-22T12:49:30
CATALOG Edit,http://www.catalogdna.com,DNA is a natural information storage medium that offers extreme stability and information density. We are developing a platform technology that will make it economically viable to encode information on to DNA molecules.,"The idea of storing information using DNA has been around for a while. It’s just that the cost of DNA synthesis has been a bottle neck. What CATALOG is building can be thought of as a printing press with movable typefaces. Instead of having to synthesize billions of different molecules, we are creating the necessary diversity by moving around the typefaces in different combinations. The world will generate 160 zettabytes of data in 2025. That’s more bytes than there are stars in the observable universe. Conventional storage media like flash-drives and hard-drives do not have the longevity, data density, or cost efficiency to meet the global demand. DNA is the digital storage medium selected by nature that has been perfected over 3 billion years of evolution. It can store millions of times more data in the same volume as conventional solutions, can last for thousands of years, and gives you the ability to physically own your data – even massive amounts of it.","We are examples of DNA-based computers. Not only do we store lots of data in DNA, our cells access and compute it in massively parallel ways. By enabling the storage of previously impossible amounts of data in DNA, CATALOG has taken a huge step in harnessing DNA-based computation.",,"56 Roland Street, Suite 208, Boston, MA, 02129 • hyunjun@catalogdna.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Sep 28, 2016",10-24,Biotech Platform Tech,Computer,$10-20M,,https://startupexchange.mit.edu/node/3689,2025-08-22T12:50:05
"CELERO SYSTEMS, INC Edit",,"What if a patient could take a pill but only get the medicine when needed? Celero Systems has developed a novel ingestible drug delivery platform that monitors a patient’s physiology and releases medication as needed. While there are many potential applications for this platform, the first clinical indication is to protect patients prescribed high dose opioids that are at risk of accidental overdose. Those patients are often co-prescribed naloxone but since most victims die alone without anyone present to deliver the medication, there is an important need for a better life-saving solution. The Celero Systems product will address the needs of 9M Americans currently prescribed high dose opioids and at greatest risk of accidental overdose. This is currently a +$300M/yr business for nasal naloxone and Celero is uniquely positioned to rapidly grow the market with a better product that has favorable reimbursement and existing pharmacy channels for distribution.","Catalia Health brings together artificial intelligence, psychology, and medicine to deliver lasting change. They create effective patient engagement and generate unique data of value to customers. The cloud-based platform delivers unique conversations to patients to help address their ongoing healthcare issues in an effective way. These messages are delivered through mobile apps, a web interface, and the uniquely engaging (and patented) interactive robotic coach. Customers are healthcare companies who are searching for effective behavior change solutions, including pharmaceutical manufacturers and distributors, home health agencies, and healthcare providers.","Ingestible, microprocessor controlled physiological sensors with drug delivery. Smart phone enabled communications and cloud based predictive analytics to improve healthcare. Extended GI residency for weekly or monthly dosing.","MIT-licensed technology | MIT faculty as founder | MIT alumni as founder | Dr Gio Traverso is a founder and is on the board Ben Pless is a founder, is on the board, and is CEO","bpless@celerosystems.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 26, 2017",,Drug Delivery,Health Care,$2-10M,"ingestible electronics, precision medicine, opioid antagonist, extended release medicine, on demand drug delivery",https://startupexchange.mit.edu/node/31645,2025-08-22T12:50:12
CELLCHORUS Edit,,"CellChorus® is the leader in performing high‑throughput, dynamic analysis of individual cell behavior and function over time to improve the performance and manufacturing of cell‑based products. The genesis of cells as living drugs requires the development of technologies that can profile massive numbers of cells at single-cell resolution. Advances in physical and information sciences have driven significant advances in single-cell analysis in recent years, although these are constrained by modalities that evaluate cells at a single point in time—and are destructive to cells. To advance the next generation of cell‑based products, we require the ability to profile cells with real-time monitoring of individual cell‑to‑cell interactions in a variety of environmental conditions and at scale—and then retrieve viable cells for downstream analysis.","The mission at PathAI is to transform, accelerate and improve cancer diagnosis and cancer care by integrating pathology machine learning / artificial intelligence (AI) with traditional pathology methods in both research and clinical labs. By leveraging recent advances in computational processing power and AI, the conventional methods of pathology are disrupted and improved, leading to meaningful improvements in medicine and patient outcomes. PathAI's revolutionary approach provides the highest level of standardization, accuracy and precision in pathology available today, delivering solutions to researchers and empowering pathologists with decision support tools.","CellChorus places individual therapeutic and cancer cells in each of thousands of manufactured nanowells. We apply Time‑lapse Imaging Microscopy in Nanowell Grids (TIMING™) with neural network-based analysis to identify, track, and characterize the behaviors of the cells. CellChorus can evaluate cell‑to‑cell interactions over time with its proprietary algorithms—for example, in immuno-oncology CellChorus evaluates whether and how individual T cells, NK cells and other cell types move, activate, kill, and survive in a variety of environmental conditions (metabolites, nutrients, suppressants, etc.). The TIMING platform allows CellChorus and its customers to identify and retrieve cells of interest from thousands of nanowells to perform additional profiling such as single‑cell RNA sequencing and protein expression. This unique platform provides a comprehensive understanding of cellular function, state and phenotype to improve the efficacy and manufacturing of cell-based products.",,"TIMING@cellchorus.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Sep 15, 2017",,AI/ML,Biotechnology,Under $2M,Life sciencesSingle cell analysisCell therapyImmunotherapyArtificial intelligence,https://startupexchange.mit.edu/node/29167,2025-08-22T12:50:18
"CELLINO BIOTECH, INC. Edit",https://www.cellinobio.com/,Cellino uses the latest advances in image-based machine learning to take actionable steps on cells undergoing differentiation. The hardware/software platform is the first to manufacture human-like tissues with high functionality and structure for the tissue replacement industry. The first area of focus is the manufacturing of transplantable retinal pigment epithelial cells to restore sight in patients suffering from vision loss.,"Cellino has built the first platform that enables precise control over iPS cell fate in their natural environment. Their proprietary delivery technology, NanoLaze, delivers synthetic biology tools to control the sequence of genes being turned on and off inside a cell. This offers precise, “digital” control over cell fate. The technology steers iPS cells to a target cell state, creating any mature cell at will. Need healthy neurons? Or kidney cells? Whatever the cell type, Cellino’s platform has the potential to create them. Cellino’s platform is 10x faster at writing programs to make functionally mature cells that are critical for clinical therapies. That means that more cell types can be created, more successfully, at a speed that makes them useful for dozens of shots on goal for cell therapies. It is a technology that will help us heal ourselves, faster. Cellino intentionally design mixed populations of cells to improve tissue interconnectivity and engraftment.",Cellino is engineering human-like cells and tissues for replacement therapies.,"MIT alumni as founder | Xinlei ""Stan"" Wang - S.B. 2008 EECS, MNG 2009 EECS - stanleyw@alum.mit.edu and Cell Phone: 240-888-9135; Matthias Wagner - M.B.A. 1998 MIT Sloan School of Management - matthias.wagner@alum.mit.edu and Cell Phone: 617-947-7440; Others : Nabiha Saklayen, Marinna Madrid","501 Massachusetts Ave. (The Engine), Cambridge, MA, 02139 • info@cellinobio.com, nsaklayen@cellinobio.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 1, 2018",10-24,Biotech Platform Tech,Biotechnology,,,https://startupexchange.mit.edu/node/3547,2025-08-22T12:50:53
CELLULAR AGRICULTURE SOCIETY Edit,http://cellag.org,"Farming animals for food are the primary cause of antibiotic resistance, contagious disease, and CO2 production. Every year over a trillion animals are killed for food, and many endure terrible suffering; common practice includes de-beaking, live electrocution, tail & teeth removal – all without anesthetic. Therefore, the practice of cellular instead of animal industries will be vital to saving the world from hunger, fuel poverty, and the worst impacts of climate change.","The Cellular Agriculture Society advances the science of ""cellular agriculture"" or production of agricultural products from cells instead of animals. Creating animal products from cells instead of organisms promises to be cleaner for public health, use far less resources, and cause no harm to animals. At CAS we plan support the advancement of cellular agriculture (cell-ag) by: a) Sparking new companies in the cell-ag space b) Attracting new talent to cell-ag from academia/general public c) Innovating projects/ideas carried out by volunteers around the world d) Educating the public on cell-ag: www.CellularAgriculture.info e) Catalyzing research for cell-ag companies f) Consulting cell-ag companies",,"MIT student as founder | Shuo Li Liu, Co-Founder, MIT Student ID: 911787469 George Church, Board Member. Professor, Health Sciences and Technology, H-MIT","125 Western Ave, Allston, MA, 02134 • info@cellag.org, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 1, 2017",1-9,Biotech,Biotechnology,,,https://startupexchange.mit.edu/node/3259,2025-08-22T12:51:29
CENTAUR LABS Edit,https://centaurlabs.com/contact,We label medical data for companies building AI,"Patients and healthcare companies often trust a single physician’s advice, even though physicians disagree with each other at alarming rates. This disagreement, proven in numerous studies, is pervasive across clinical areas. As AI plays an increasingly large role in healthcare, the consequences for bad quality inputs grow. How do you train an AI model when you lack confidence in the underlying data? Misdiagnoses and errors in medical decisions—from AI and humans alike—cost lives. Centaur accurately labels medical data by intelligently combining opinions from experts with medical knowledge and specialized training. Our approach is built on four pillars: (1) Focus exclusively on medical data -- We have a deep understanding of niche tasks, data formats, security constraints, and regulatory hurdles. Brain with gears (2) On-demand global skilled network -- Tens of thousands of medical students and professionals compete against each other to label medical cases for our customers. On our labeling mobile app, DiagnosUs, we collect over a million opinions every day. (3) Performance-based compensation incentivizes the best work -- We make the labeling experience competitive to constantly measure accuracy and incentivize effort from labelers. (4) Collective intelligence drives improved accuracy -- We intelligently aggregate opinions to create labels that beat the accuracy of individual board-certified doctors.","We leverage a network of medical students a professionals to label medical data accurately, affordably, and at scale",MIT alumni as founder | founder and CEO Erik Duhaime is an MIT PhD graduate. Multiple employees also are alums,"883 Boylston Street, Suite 200, Boston, MA, 02116 • erik@centaurlabs.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Mar 22, 2017",10-24,AI/ML,Software,$2-10M,AI; medicine; diagnostics; collective intelligence; crowdsourcing,https://startupexchange.mit.edu/node/25065,2025-08-22T12:52:05
CHANGE:WATER LABS Edit,http://www.change-water.com/,"change:WATER Labs, plans to bring dignified sanitation to this population by developing a compact, evaporative toilet for homes without power or plumbing. Because sewage is mostly water, it’s possible to rapidly vaporize it, eliminating up to 95 percent of daily sewage volumes.","Globally, 2.6Bn people lack safe toilet access, and 1Bn defecate openly. Chronic under-investment into sanitation infrastructure means people in many poor and vulnerable communities live with their sewage. With no toilets or pipes, there is no way to flush. change:WATER Labs is developing a low-cost, compact, waterless toilet for non-sewered households and communities. Within the 40% of the world who lack proper access to sanitation, a deeper problem lies for women and girls. 20%-40% of girls drop out of school because of inaccessible or inappropriate toilets. In many areas, women and girls are at risk of assault and violence with their current solution. change:WATER is particularly motivated to help develop solutions for this subset.",,"MIT staff as founder | Huda Elasaad, Visiting Scholar and Diana Yousef-Martinek, Research Associate -- both from MIT D-Lab","Cambridge, MA, Cambridge, Massachusetts, 02139 • admin@change-water.com, helasaad@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Sep 1, 2016",1-9,Consumer Focus,Consumer,NULL,,https://startupexchange.mit.edu/node/3187,2025-08-22T12:52:40
